brand,type,sulfate,dmdmhydantoin,ml,pack,cost,discmult,mlCost,urla,urlb
holy curls,1,n,n,300,1,21.6,1,0.072,https://www.amazon.co.uk/dp/B0BLT4T1VK,
head & shoulders men,2 in 1,y,?,,,,1,,,
medipure,2 in 1,y,?,,,,1,,,
sainsburys,2 in 1,y,n,,,,1,,,
tesco anti-dandruff,2 in 1,y,n,,,,1,,,
wash & go,2 in 1,y,n,,,,1,,,
wash & go,2 in 1,y,n,,,,1,,,
palmolive,2 in 1 hydra balance,y,n,,,,1,,,
alphosyl,2 in 1 medicated,y,n,,,,1,,,
wash & go,2 in 1 sport,y,n,,,,1,,,
every man jack,2 in 1 thickening,y,n,,,,1,,,
tesco anti-dandruff,2 in 1 thickening,y,n,,,,1,,,
suave,2-in-1 alpine,?,y,,,,1,,,
suave,2-in-1 classic,?,y,,,,1,,,
suave,2-in-1 plus,?,y,,,,1,,,
childs farm,3 in 1,y,n,,,,1,,,
xtracare,3-in-1,?,y,,,,1,,,
olaplex,4,n,n,250,1,21.96,1,0.08784,https://www.amazon.co.uk/dp/B07D37PQGL,
olaplex,4C,n,n,250,1,24.2,1,0.0968,https://www.amazon.co.uk/dp/B0B4BG3HPM,
olaplex,4P,n,n,250,1,21.56,1,0.08624,https://www.amazon.co.uk/dp/B09FYK7FKR,
olaplex,6,n,n,100,1,19.94,1,0.1994,https://www.onbuy.com/gb/olaplex-no-6-bond-smoother-100ml~c5396~p17577244/,
head & shoulders,7 in 1,y,n,,,,1,,,
aveeno,Almond Oil,n,n,300,1,5.35,0.95,0.0169416666666667,https://www.amazon.co.uk/dp/B0BQTP4SGS,
aveeno,Apple Cider Vinegar new,n,n,300,1,5.08,0.95,0.0160866666666667,https://www.amazon.co.uk/dp/B0BQTMHNW9,
aveeno,Apple Cider Vinegar old,n,n,354,1,16.95,0.95,0.0160866666666667,https://www.amazon.co.uk/dp/B08W6BXJYV,
john masters organics,Rosemary & Peppermint,n,n,473,1,39.99,1,0.0845454545454545,https://www.amazon.co.uk/dp/B07TDHZBMH,
aveeno,Soothing Oat,y,n,300,1,,1,0,https://www.amazon.co.uk/dp/B017TFCRHC,
neutrogena,T/gel,y,n,,,,1,,,
matrix,a curl can dream,y,?,,,,1,,,
l'oreal paris,absolut repair,y,n,,,,1,,,
l'oreal professionnel,absolut repair,y,?,,,,1,,,
maxine laceby,absolute collagen,y,?,,,,1,,,
redken,acidic bonding,n,n,300,1,17.99,1,0.0599666666666667,https://www.amazon.co.uk/dp/B08P66Q9TK,
kms,addpower,y,?,,,,1,,,
tresemme pro pure,airlight,n,n,380,1,4.5,1,0.0118421052631579,https://www.sainsburys.co.uk/gol-ui/product/shampoo-44/tresemme-propure-airlight-volume-shampoo-380ml,https://www.tesco.com/groceries/en-GB/products/309166048
redken,all soft,y,n,,,,1,,,
